DRX013832	SAMD00010425
DRX013833	SAMD00010396
DRX013834	SAMD00010314
DRX013835	SAMD00010391
DRX013836	SAMD00010590
DRX013837	SAMD00010360
DRX013838	SAMD00010607
DRX013839	SAMD00010419
DRX013840	SAMD00010294
DRX013841	SAMD00010334
DRX013842	SAMD00010372
DRX013843	SAMD00010514
DRX013844	SAMD00010477
DRX013845	SAMD00010450
DRX013846	SAMD00010305
DRX013847	SAMD00010441
DRX013848	SAMD00010398
DRX013849	SAMD00010320
DRX013850	SAMD00010501
DRX013851	SAMD00010348
DRX013852	SAMD00010576
DRX013853	SAMD00010537
DRX013854	SAMD00010463
DRX013855	SAMD00010610
DRX013856	SAMD00010432
DRX013857	SAMD00010299
DRX013858	SAMD00010353
DRX013859	SAMD00010612
DRX013860	SAMD00010476
DRX013861	SAMD00010468
DRX013862	SAMD00010300
DRX013863	SAMD00010340
DRX013864	SAMD00010295
DRX013865	SAMD00010379
DRX013866	SAMD00010331
DRX013867	SAMD00010408
DRX013868	SAMD00010412
DRX013869	SAMD00010579
DRX013870	SAMD00010552
DRX013871	SAMD00010490
DRX013872	SAMD00010371
DRX013873	SAMD00010415
DRX013874	SAMD00010394
DRX013875	SAMD00010479
DRX013877	SAMD00010568
DRX013878	SAMD00010569
DRX013879	SAMD00010530
DRX013880	SAMD00010282
DRX013881	SAMD00010417
DRX013882	SAMD00010397
DRX013883	SAMD00010445
DRX013884	SAMD00010452
DRX013885	SAMD00010562
DRX013886	SAMD00010488
DRX013887	SAMD00010593
DRX013888	SAMD00010347
DRX013889	SAMD00010336
DRX013890	SAMD00010346
DRX013891	SAMD00010315
DRX013892	SAMD00010380
DRX013893	SAMD00010522
DRX013894	SAMD00010388
DRX013895	SAMD00010599
DRX013896	SAMD00010523
DRX013897	SAMD00010503
DRX013898	SAMD00010570
DRX013899	SAMD00010378
DRX013900	SAMD00010520
DRX013901	SAMD00010508
DRX013902	SAMD00010563
DRX013903	SAMD00010367
DRX013904	SAMD00010532
DRX013905	SAMD00010306
DRX013906	SAMD00010322
DRX013907	SAMD00010279
DRX013908	SAMD00010567
DRX013909	SAMD00010533
DRX013910	SAMD00010512
DRX013911	SAMD00010574
DRX013913	SAMD00010349
DRX013914	SAMD00010598
DRX013915	SAMD00010443
DRX013916	SAMD00010566
DRX013917	SAMD00010595
DRX013918	SAMD00010343
DRX013919	SAMD00010416
DRX013920	SAMD00010324
DRX013921	SAMD00010354
DRX013922	SAMD00010424
DRX013923	SAMD00010601
DRX013924	SAMD00010390
DRX013925	SAMD00010290
DRX013926	SAMD00010609
DRX013927	SAMD00010403
DRX013928	SAMD00010422
DRX013929	SAMD00010531
DRX013930	SAMD00010321
DRX013931	SAMD00010510
DRX013932	SAMD00010528
DRX013933	SAMD00010435
DRX013934	SAMD00010444
DRX013935	SAMD00010439
DRX013936	SAMD00010549
DRX015047	SAMD00009596
DRX015050	SAMD00009593
DRX015051	SAMD00009599
DRX015055	SAMD00009588
DRX015058	SAMD00009581
DRX015059	SAMD00009597
DRX015061	SAMD00009592
DRX015063	SAMD00009585
DRX015069	SAMD00009582
DRX015070	SAMD00009595
DRX016553	SAMD00013904
DRX016555	SAMD00013890
DRX016556	SAMD00013905
DRX016557	SAMD00013902
DRX016558	SAMD00013903
DRX016560	SAMD00013892
DRX016561	SAMD00013893
DRX016562	SAMD00013900
DRX016563	SAMD00013888
DRX016564	SAMD00013896
DRX016565	SAMD00013895
DRX016566	SAMD00013898
DRX016567	SAMD00013906
DRX016568	SAMD00013899
DRX016569	SAMD00013886
DRX016570	SAMD00013908
DRX016571	SAMD00013897
DRX016572	SAMD00013887
DRX016573	SAMD00013909
DRX016574	SAMD00013894
DRX016575	SAMD00013901
DRX016576	SAMD00013910
DRX016577	SAMD00013889
DRX019716	SAMD00018750
DRX019717	SAMD00018751
DRX019719	SAMD00018753
DRX019720	SAMD00018754
DRX019721	SAMD00018755
DRX019722	SAMD00018756
DRX019723	SAMD00018757
DRX020476	SAMD00019354
DRX020486	SAMD00019354
